CASE#,X,Y,cluster_label
JJ401230,1153649.0,1902303.0,0
JJ324384,1164015.0,1859229.0,1
JJ471829,1100658.0,1934241.0,0
JJ477352,1154577.0,1893618.0,0
JJ353814,1170978.0,1902663.0,0
JJ502207,1149680.0,1890629.0,0
JK111426,1147804.0,1910522.0,0
JK245146,1163479.0,1903505.0,0
JJ386003,1163382.0,1859213.0,1
JK109285,1164170.0,1948322.0,0
JJ365251,1173772.0,1920055.0,0
JK128642,1164873.0,1928958.0,0
JJ439298,1158126.0,1896919.0,0
JJ296661,1153974.0,1891449.0,0
JJ407958,1141194.0,1933432.0,0
JJ409299,1194980.0,1848912.0,1
JJ356787,1165363.0,1853371.0,1
JJ293511,1173145.0,1883867.0,0
JJ529277,1172144.0,1868263.0,1
JJ367891,1178912.0,1871014.0,1
JJ264142,1173796.0,1919557.0,0
JJ339738,1151854.0,1862554.0,1
JJ463934,1175616.0,1889758.0,0
JJ402583,1192964.0,1859500.0,1
JJ268930,1167085.0,1943221.0,0
JJ518397,1166168.0,1920287.0,0
JK218226,1197738.0,1852836.0,1
JJ368952,1166782.0,1901341.0,0
JJ423405,1163055.0,1908002.0,0
JJ374105,1154744.0,1828719.0,1
JJ411563,1168587.0,1925718.0,0
JJ404574,1142385.0,1899733.0,0
JJ366341,1176026.0,1857230.0,1
JK212317,1149953.0,1916650.0,0
JK152239,1169789.0,1926761.0,0
JK174113,1180585.0,1853775.0,1
JJ284754,1126703.0,1925363.0,0
JJ269672,1131913.0,1934516.0,0
JK250980,1150898.0,1899740.0,0
JJ470020,1104700.0,1933741.0,0
JJ341269,1139921.0,1898365.0,0
JK217962,1182058.0,1844777.0,1
JK217980,1179519.0,1883862.0,1
JK251915,1160120.0,1857473.0,1
JK102700,1131792.0,1911580.0,0
JJ480557,1140579.0,1931415.0,0
JJ360654,1171188.0,1858239.0,1
JK123449,1151096.0,1929656.0,0
JJ356482,1153135.0,1937017.0,0
JJ518147,1180532.0,1848726.0,1
JJ375683,1174621.0,1904600.0,0
JJ418597,1160248.0,1935149.0,0
JJ405206,1178836.0,1832879.0,1
JJ531197,1150424.0,1874895.0,1
JK161356,1173286.0,1921046.0,0
JJ276812,1152972.0,1902764.0,0
JK258686,1172749.0,1838296.0,1
JJ509304,1160882.0,1871145.0,1
JK235301,1170136.0,1893407.0,0
JJ338563,1189355.0,1854936.0,1
JJ332002,1158588.0,1908879.0,0
JJ329280,1162886.0,1906753.0,0
JJ503647,1179102.0,1852680.0,1
JJ317009,1172551.0,1923470.0,0
JK257681,1170281.0,1832079.0,1
JJ379307,1158728.0,1941084.0,0
JJ386119,1173059.0,1897584.0,0
JJ397714,1195409.0,1853765.0,1
JJ302608,1174135.0,1859323.0,1
JK127788,1157491.0,1835339.0,1
JJ293445,1169228.0,1930736.0,0
JJ419299,1150583.0,1847033.0,1
JK215297,1201786.0,1841747.0,1
JK153073,1154111.0,1894509.0,0
JK138284,1168381.0,1863382.0,1
JJ308318,1145654.0,1866253.0,1
JJ385496,1189108.0,1860905.0,1
JK152327,1168398.0,1921038.0,0
JJ307973,1150306.0,1915963.0,0
JK129322,1179993.0,1863685.0,1
JJ361813,1173012.0,1829659.0,1
JJ455164,1178755.0,1860402.0,1
JK157315,1175739.0,1881773.0,1
JK104252,1167473.0,1852835.0,1
JJ314476,1137995.0,1915018.0,0
JJ497582,1153544.0,1899807.0,0
JJ348104,1164276.0,1917018.0,0
JK245452,1176017.0,1897553.0,0
JK187418,1154297.0,1896174.0,0
